phone,spkid,error,word
AH,0001000000005330-VE655154,0.0,OF
V,0001000000005330-VE655154,0.0,OF
DH,0001000000005330-VE655154,0.0,THE
AH,0001000000005330-VE655154,0.0,THE
M,0001000000005330-VE655154,0.0,MIDDLE
IH,0001000000005330-VE655154,0.0,MIDDLE
AH,0001000000005330-VE655154,0.0,MIDDLE
L,0001000000005330-VE655154,0.0,MIDDLE
AH,0001000000005330-VE655154,0.0,OF
V,0001000000005330-VE655154,0.0,OF
DH,0001000000005330-VE655154,1.0,THE
AH,0001000000005330-VE655154,0.0,THE
M,0001000000005330-VE655154,0.0,MANY
EH,0001000000005330-VE655154,0.0,MANY
N,0001000000005330-VE655154,0.0,MANY
IY,0001000000005330-VE655154,0.0,MANY
T,0001000000005330-VE655154,0.0,TURTLES
ER,0001000000005330-VE655154,0.0,TURTLES
AH,0001000000005330-VE655154,0.0,TURTLES
L,0001000000005330-VE655154,1.0,TURTLES
Z,0001000000005330-VE655154,0.0,TURTLES
K,0001000000005330-VE655154,0.0,CAN
AE,0001000000005330-VE655154,0.0,CAN
N,0001000000005330-VE655154,0.0,CAN
L,0001000000005330-VE655154,0.0,LIVE
IH,0001000000005330-VE655154,0.0,LIVE
V,0001000000005330-VE655154,1.0,LIVE
AH,0001000000005330-VE655154,0.0,A
V,0001000000005330-VE655154,0.0,VERY
EH,0001000000005330-VE655154,1.0,VERY
R,0001000000005330-VE655154,0.0,VERY
IY,0001000000005330-VE655154,0.0,VERY
OW,0001000000005330-VE655154,0.0,OLD
L,0001000000005330-VE655154,0.0,OLD
D,0001000000005330-VE655154,1.0,OLD
AE,0001000000005330-VE655154,0.0,AND
N,0001000000005330-VE655154,0.0,AND
D,0001000000005330-VE655154,0.0,AND
DH,0001000000005330-VE655154,0.0,THE
AH,0001000000005330-VE655154,0.0,THE
D,0001000000005905-VE655154,0.0,DID
IH,0001000000005905-VE655154,1.0,DID
D,0001000000005905-VE655154,1.0,DID
Y,0001000000005905-VE655154,0.0,YOU
UW,0001000000005905-VE655154,0.0,YOU
DH,0001000000005905-VE655154,0.0,THAT
AE,0001000000005905-VE655154,0.0,THAT
T,0001000000005905-VE655154,0.0,THAT
HH,0001000000005905-VE655154,0.0,HAVE
AE,0001000000005905-VE655154,0.0,HAVE
V,0001000000005905-VE655154,0.0,HAVE
L,0001000000005905-VE655154,0.0,LIVED
IH,0001000000005905-VE655154,0.0,LIVED
V,0001000000005905-VE655154,1.0,LIVED
D,0001000000005905-VE655154,1.0,LIVED
S,0001000000005905-VE655154,0.0,SINCE
IH,0001000000005905-VE655154,0.0,SINCE
N,0001000000005905-VE655154,0.0,SINCE
S,0001000000005905-VE655154,0.0,SINCE
DH,0001000000005905-VE655154,1.0,THE
AH,0001000000005905-VE655154,0.0,THE
T,0001000000005905-VE655154,0.0,TIME
AY,0001000000005905-VE655154,0.0,TIME
M,0001000000005905-VE655154,0.0,TIME
